rest_id,c_id,city_id,restaurant_name,cuisine_type,address_raw,price_tier,rating,reviews,ranking,hours,phone,website,created_at,updated_at
402,2,4,Figlmüller,Schnitzel,Wollzeile 5,Midrange,4.6,18500,#3,11:00-22:30,+43 1 512,figlmueller.at,3/11/2026,
403,2,4,Plachutta,Beef/Austrian,Wollzeile 38,Luxury,4.5,12000,#10,11:30-23:00,+43 1 512,plachutta.at,3/11/2026,
404,2,4,Naschmarkt Deli,Street Food,Naschmarkt,Budget,4.3,4200,#25,08:00-22:00,+43 1 585,naschmarkt-deli.at,3/11/2026,
501,2,5,St. Peter Stifts,Austrian,Sankt-Peter-Bezirk,Luxury,4.7,3500,#1,11:30-23:00,+43 662,stpeter.at,3/11/2026,
502,2,5,Zwettler's,Traditional,Kaigasse 3,Midrange,4.6,2800,#5,11:00-23:00,+43 662,zwettlers.com,3/11/2026,
503,2,5,Augustiner Bräu,Brewery/Food,Lindhofstraße 7,Budget,4.8,8500,#2,15:00-23:00,+43 662,augustinerbier.at,3/11/2026,
504,2,5,Bärenwirt,Austrian,Müllner Hauptstr,Midrange,4.6,4100,#8,11:00-22:00,+43 662,baerenwirt.at,3/11/2026,
601,2,6,Rudolfsturm,Austrian,Salzberg,Midrange,4.4,1500,#1,10:00-18:00,+43 6132,rudolfsturm.at,3/11/2026,
602,2,6,Bräugasthof,Traditional,Seestraße,Midrange,4.5,2200,#2,11:00-21:00,+43 6132,brauhaus-hallstatt.at,3/11/2026,
603,2,6,Seehotel Grüner,Fine Dining,Seestraße,Luxury,4.6,900,#3,12:00-22:00,+43 6132,gruenerbaum.at,3/11/2026,
604,2,6,Simple 169,Snacks/Budget,Hallstatt Center,Budget,4.7,450,#10,09:00-19:00,+43 6132,simple169.at,3/11/2026,
701,3,7,Comme Chez Soi,French/Belg,Place Rouppe,Luxury,4.7,2500,#1,12:00-21:30,+32 2 512,commechezsoi.be,3/11/2026,
702,3,7,Chez Léon,Mussels,Rue des Bouchers,€€,4.2,15000,#15,11:30-23:00,+32 2 511,chezleon.be,3/11/2026,
703,3,7,Fin de Siècle,Belgian,Rue des Chartreux,Budget,4.5,6800,#8,12:00-24:00,+32 2 512,findesiecle.be,3/11/2026,
704,3,7,Maison Antoine,Street Food,Place Jourdan,Budget,4.6,4500,#1,11:00-01:00,+32 2 230,maisonantoine.be,3/11/2026,
801,3,8,Park Restaurant,French,Sebrechtsstraat,Luxury,4.8,1500,#1,18:30-22:00,+32 50 33,parkrestaurant.be,3/11/2026,
802,3,8,De Halve Maan,Belgian,Walplein,Midrange,4.6,9200,#2,11:00-21:00,+32 50 44,halvemaan.be,3/11/2026,
803,3,8,Books & Brunch,Health,Garenmarkt,Budget,4.7,1200,#5,09:00-15:00,+32 50 34,booksandbrunch.be,3/11/2026,
804,3,8,Chez Vincent,Fries/Grill,Sint-Salvatorskerkhof,Budget,4.4,3500,#12,11:30-22:00,+32 50 33,chezvincent.be,3/11/2026,
901,3,9,Gravensteen,Grill,Castle View,Midrange,4.6,2100,#5,12:00-22:00,+32 9 223,gravensteen.be,3/11/2026,
902,3,9,Pakhuis,Brasserie,Schuurkenstraat,Luxury,4.5,4500,#2,12:00-23:00,+32 9 223,pakhuis.be,3/11/2026,
903,3,9,Soup'r,Street Food,Sint-Niklaasstraat,Budget,4.8,1800,#1,11:00-16:00,+32 9 233,soupr.be,3/11/2026,
904,3,9,De Witte Leeuw,Belgian,Graslei,Midrange,4.3,3200,#10,11:30-22:30,+32 9 233,dewitteleeuw.be,3/11/2026,
1001,4,10,4 Sobe,Modern,?eneti?a megdan,Luxury,4.7,1500,#2,12:00-23:00,+387 33,4sobe.ba,3/11/2026,
1002,4,10,Dveri,Balkan,Prote Bakovi?a,Midrange,4.8,3200,#1,11:00-23:00,+387 33,dveri.ba,3/11/2026,
1003,4,10,Hodži?,?evapi,Baš?aršija,Budget,4.6,8500,#1,09:00-22:00,+387 33,cevabdzinica.ba,3/11/2026,
1004,4,10,Park Prin?eva,International,Iza Hrida,€€€,4.4,2500,#8,10:00-23:30,+387 33,parkprinceva.ba,3/11/2026,
1101,4,11,Sadrvan,Bosnian,Old Bridge,Midrange,4.7,5200,#1,11:00-23:00,+387 36,sadrvan.ba,3/11/2026,
1102,4,11,Hindin Han,Grill,Yusof Pasha,Midrange,4.6,4100,#3,10:00-23:00,+387 36,hindinhan.ba,3/11/2026,
1103,4,11,Tima-Irma,Grill/Street,Oneš?ukova,Budget,4.9,3500,#1,09:00-22:00,+387 61,tima-irma.com,3/11/2026,
1104,4,11,Labirint,Modern,Old Bazaar,€€€,4.3,1800,#12,12:00-22:30,+387 36,labirint.ba,3/11/2026,
1201,4,12,Restoran Tarana,Balkan Grill,"Vinogradi bb, Trebinje",Budget,4.7,1250,#1,08:00-23:00,+387 59,tarana.ba,3/11/2026,
1202,4,12,Vukoje Cellars,Fine Dining,"Hrupjela bb, Trebinje",Luxury,4.8,980,#2,12:00-23:00,+387 59,vukoje.ba,3/11/2026,
1203,4,12,Studenac,Seafood,"Zasad bb, Trebinje",Midrange,4.6,1120,#4,09:00-23:00,+387 59,studenac.ba,3/11/2026,
1204,4,12,Market 99,Local,Trebinje Center,Budget,4.5,620,#10,07:00-22:00,+387 59,market99.ba,3/11/2026,
1301,5,13,Zinfandel's,Modern,"Mihanovi?eva 1, Zagreb",Luxury,4.8,1520,#1,12:00-23:00,+385 1 45,esplanade.hr,3/11/2026,
1302,5,13,Vinodol,Croatian,"Teslina 10, Zagreb",Midrange,4.6,6580,#5,11:00-23:30,+385 1 48,vinodol.hr,3/11/2026,
1303,5,13,Heritage,Street Food,"Petrinjska 14, Zagreb",Budget,4.9,2240,#2,11:00-20:00,+385 91,heritage.hr,3/11/2026,
1304,5,13,Noel,Creative,"Popa Dukljanina 1, Zagreb",Luxury,4.7,820,#3,13:00-22:30,+385 1 48,noel.hr,3/11/2026,
1401,5,14,Restaurant 360,Fine Dining,"Sv. Dominika bb, Dubrovnik",Luxury,4.8,2150,#1,18:00-22:30,+385 20,360dubrovnik.com,3/11/2026,
1402,5,14,Pantarul,Mediterranean,"Lapadska obala 2, Dubrovnik",Midrange,4.7,1840,#5,12:00-23:00,+385 20,pantarul.com,3/11/2026,
1403,5,14,Barba,Street Food,"Boškovi?eva 5, Dubrovnik",Budget,4.6,3210,#10,11:00-22:00,+385 91,barba.hr,3/11/2026,
1404,5,14,Lady Pi-Pi,Grill,"Prijeko ul. 22, Dubrovnik",Midrange,4.5,4520,#8,11:00-23:00,+385 20,ladypipi.hr,3/11/2026,
1501,5,15,Monte,Creative,"Montalbano 75, Rovinj",Luxury,4.9,1230,#1,18:00-22:00,+385 52,monte.hr,3/11/2026,
1502,5,15,Kantinon,Istrian,"Obala Alda Rismonda, Rovinj",Midrange,4.6,2540,#4,12:00-23:00,+385 52,kantinon.com,3/11/2026,
1503,5,15,Tipico,Mediterranean,"Grisia 30, Rovinj",Midrange,4.7,1120,#6,13:00-22:00,+385 91,tipico.hr,3/11/2026,
1504,5,15,Da Sergio,Pizza,"Grisia 11, Rovinj",Budget,4.5,3580,#15,11:30-23:00,+385 52,dasergio.hr,3/11/2026,
1601,6,16,La Degustation,Czech Fine,"Haštalská 18, Prague",Luxury,4.8,2560,#2,18:00-22:30,+420 222,ladegustation.cz,3/11/2026,
1602,6,16,Lokál Dlouhááá,Czech,"Dlouhá 33, Prague",Budget,4.6,15400,#10,11:00-01:00,+420 222,lokal.cz,3/11/2026,
1603,6,16,Café Savoy,Brasserie,"Vít?zná 5, Prague",Midrange,4.5,8520,#15,08:00-22:00,+420 222,cafesavoy.cz,3/11/2026,
1604,6,16,Naše Maso,Street Food,"Dlouhá 39, Prague",Budget,4.7,5240,#1,11:00-21:00,+420 222,nasemaso.cz,3/11/2026,
1701,6,17,Grandrestaurant,European,"Mírové nám. 2, Karlovy Vary",Luxury,4.6,1820,#1,12:00-22:00,+420 353,pupp.cz,3/11/2026,
1702,6,17,Promenáda,International,"Tržišt? 31, Karlovy Vary",Midrange,4.7,1250,#2,12:00-23:00,+420 353,promenada.cz,3/11/2026,
1703,6,17,Velkopopovická,Czech,"Petra Velikého, Karlovy Vary",Budget,4.5,2140,#8,11:00-22:00,+420 353,velkopopovicka.cz,3/11/2026,
1704,6,17,Bagel Lounge,Snacks,"T.G. Masaryka, Karlovy Vary",Budget,4.4,920,#15,09:00-19:00,+420 777,bagellounge.cz,3/11/2026,
1801,6,18,Tavern Jonas,Medieval,"Latrán 47, Cesky Krumlov",Midrange,4.7,1540,#2,12:00-22:00,+420 380,tavernjonas.cz,3/11/2026,
1802,6,18,Le Jardin,Fine Dining,"Linecká 55, Cesky Krumlov",Luxury,4.8,920,#1,18:30-22:00,+420 380,lejardin.cz,3/11/2026,
1803,6,18,Papa's Living,International,"Latrán 13, Cesky Krumlov",Midrange,4.5,3210,#5,11:30-23:00,+420 380,papas.cz,3/11/2026,
1804,6,18,MLS Krumlov,Street Food,"Latrán 12, Cesky Krumlov",Budget,4.4,1250,#20,10:00-20:00,+420 380,mls.cz,3/11/2026,
1901,7,19,Noma,Creative,"Refshalevej 96, Copenhagen",Luxury,4.8,4580,#1,17:00-23:00,+45 32 96,noma.dk,3/11/2026,
1902,7,19,Höst,Nordic,Nørre Farimagsgade 41,Midrange,4.7,3520,#3,17:30-24:00,+45 89 93,host.dk,3/11/2026,
1903,7,19,Gasoline Grill,Street Food,"Landgreven 10, Copenhagen",Budget,4.6,5840,#1,11:00-20:00,-,gasolinegrill.com,3/11/2026,
1904,7,19,Schønnemann,Danish,"Hauser Plads 16, Copenhagen",Midrange,4.7,2150,#10,11:30-17:00,+45 33 12,restaurantschonnemann.dk,3/11/2026,
2001,7,20,Gastromé,Fine Dining,"Rosensgade 28, Aarhus",Luxury,4.7,820,#1,18:00-24:00,+45 85 85,gastrome.dk,3/11/2026,
2002,7,20,Restaurant Et,French,"Åboulevarden 7, Aarhus",Midrange,4.6,1240,#2,12:00-22:00,+45 86 86,restaurant-et.dk,3/11/2026,
2003,7,20,Aarhus Street Food,World,Ny Banegårdsgade 46,Budget,4.5,8560,#1,11:30-21:00,-,aarhusstreetfood.com,3/11/2026,
2004,7,20,Raadhuus Kafeen,Danish,"Sønder Allé 3, Aarhus",Midrange,4.4,2230,#12,11:30-22:00,+45 86 12,raadhuuskafeen.dk,3/11/2026,
2101,7,21,Brøndums,Danish,"Anchersvej 3, Skagen",Luxury,4.6,1540,#1,12:00-21:30,+45 98 44,broendums-hotel.dk,3/11/2026,
2102,7,21,Skagen Fiskerest.,Seafood,"Fiskehuskaj 13, Skagen",Midrange,4.5,3250,#3,11:30-22:00,+45 98 44,skagenfiskerestaurant.dk,3/11/2026,
2103,7,21,Jakob's Café,International,"Havnevej 4, Skagen",Midrange,4.4,1820,#5,10:00-23:00,+45 98 44,jakobs.dk,3/11/2026,
2104,7,21,Pakhuset,Seafood,"Rødspættevej 6, Skagen",Budget,4.3,2580,#8,11:30-22:00,+45 98 44,pakhuset.dk,3/11/2026,
2201,8,22,Olo,Nordic,"Pohjoisesplanadi 5, Helsinki",Luxury,4.8,1240,#1,18:00-24:00,+358 10,olo-ravintola.fi,3/11/2026,
2202,8,22,Savotta,Traditional,Aleksanterinkatu 22,Midrange,4.6,3580,#5,12:00-23:00,+358 9,ravintolasavotta.fi,3/11/2026,
2203,8,22,Old Market Hall,Local,"Eteläranta, Helsinki",Budget,4.5,8560,#1,08:00-18:00,+358 9,vanhakauppahalli.fi,3/11/2026,
2204,8,22,Sea Horse,Finnish,"Kapteeninkatu 11, Helsinki",Midrange,4.4,2150,#12,11:00-22:00,+358 9,seahorse.fi,3/11/2026,
2301,8,23,Sky Kitchen,Lappish,"Juhannuskalliontie, Rovaniemi",Luxury,4.7,980,#1,18:00-22:30,+358 16,skykitchen.fi,3/11/2026,
2302,8,23,Nili,Traditional,"Valtakatu 20, Rovaniemi",Luxury,4.6,2850,#2,12:00-23:00,+358 40,nili.fi,3/11/2026,
2303,8,23,Kotahovi,Lappish,"Santa Village, Rovaniemi",Midrange,4.8,1150,#3,11:00-17:00,+358 40,laplandkotahovi.com,3/11/2026,
2304,8,23,Kauppayhtiö,Burgers,"Valtakatu 24, Rovaniemi",Budget,4.5,1540,#10,11:00-21:00,+358 16,kauppayhtio.fi,3/11/2026,
2401,8,24,Sinne,Nordic,"Länsiranta 10, Porvoo",Luxury,4.6,820,#1,11:00-22:00,+358 10,sinneporvoo.fi,3/11/2026,
2402,8,24,Meat District,Grill,"Välikatu 16, Porvoo",Midrange,4.5,1140,#2,16:00-23:00,+358 40,meatdistrict.fi,3/11/2026,
2403,8,24,Fryysarin Ranta,Seafood,"Jokikatu 20, Porvoo",Midrange,4.4,780,#5,12:00-21:00,+358 19,fryysarinranta.fi,3/11/2026,
2404,8,24,Hanna-Maria,Home Food,"Välikatu 14, Porvoo",Budget,4.3,980,#8,10:30-17:00,+358 19,hannamaria.fi,3/11/2026,
2501,9,25,Guy Savoy,French,"11 Quai de Conti, Paris",Luxury,4.9,3250,#1,12:00-22:30,+33 1 43,guysavoy.com,3/11/2026,
2502,9,25,Bouillon Chartier,Traditional,"7 Rue du Faubourg, Paris",Budget,4.2,45200,#10,11:30-00:00,+33 1 47,bouillon-chartier.com,3/11/2026,
2503,9,25,L'As du Fallafel,Street Food,"32 Rue des Rosiers, Paris",Budget,4.6,15400,#1,11:00-23:00,+33 1 48,lasdufallafel.com,3/11/2026,
2504,9,25,Le Comptoir,Bistro,"9 Carrefour de l'Odéon, Paris",Midrange,4.5,8560,#5,12:00-23:00,+33 1 44,hotel-paris-relais.com,3/11/2026,
2601,9,26,Jan,Creative,"12 Rue Lascaris, Nice",Luxury,4.8,1120,#1,18:30-22:00,+33 4 97,restaurantjan.com,3/11/2026,
2602,9,26,René Socca,Street Food,"2 Rue Miralheti, Nice",Budget,4.3,8250,#1,09:00-21:00,+33 4 93,renesocca.com,3/11/2026,
2603,9,26,Le Comptoir,Mediterranean,"20 Rue St-François, Nice",Midrange,4.6,3540,#4,12:00-23:00,+33 4 93,comptoir-marche.fr,3/11/2026,
2604,9,26,Oliviera,Mediterranean,"8 Rue du Collet, Nice",Midrange,4.8,1850,#2,12:00-21:30,+33 4 93,oliviera.com,3/11/2026,
2701,9,27,Paul Bocuse,Fine Dining,Collonges-au-Mont-d'Or,Luxury,4.8,5560,#1,12:00-22:00,+33 4 72,bocuse.fr,3/11/2026,
2702,9,27,Le Musée,Bouchon,"2 Rue des Forces, Lyon",Midrange,4.7,1240,#3,12:00-22:00,+33 4 78,restaurant-lemusee.fr,3/11/2026,
2703,9,27,Les Fédérations,Bouchon,"8 Rue Major Martin, Lyon",Midrange,4.5,2520,#10,12:00-23:00,+33 4 78,lesfederationslyon.com,3/11/2026,
2704,9,27,Boul. du Palais,Snacks,"8 Rue St-Jean, Lyon",Budget,4.7,3150,#1,08:00-19:00,+33 4 78,boulangeriedupalais.fr,3/11/2026,
2801,9,28,L'Esquisse,Modern,"21 Rue Royale, Annecy",Luxury,4.7,680,#1,19:00-22:00,+33 4 50,l-esquisse.com,3/11/2026,
2802,9,28,Le Freti,Savoyard,"12 Rue Sainte-Claire, Annecy",Midrange,4.5,4250,#5,12:00-22:30,+33 4 50,lefreti.com,3/11/2026,
2803,9,28,Tête de Cochon,Bistro,"9 Rue de l'Île, Annecy",Midrange,4.6,1140,#8,12:00-22:00,+33 4 50,tetedecochon.fr,3/11/2026,
2804,9,28,Glacier des Alpes,Ice Cream,"16 Rue Perrière, Annecy",Budget,4.8,5560,#1,10:00-23:00,+33 4 50,glacier-des-alpes.com,3/11/2026,
2901,9,29,JY'S,Fine Dining,17 Rue de la Poissonnerie,Luxury,4.7,820,#1,12:00-22:00,+33 3 89,jean-yves-schillinger.com,3/11/2026,
2902,9,29,Le Fer Rouge,Alsatian,"52 Grand Rue, Colmar",Midrange,4.4,3240,#10,11:30-22:30,+33 3 89,leferrouge.alsace,3/11/2026,
2903,9,29,Brasserie Hist.,Alsatian,"10 Grand Rue, Colmar",Midrange,4.5,1850,#5,12:00-23:00,+33 3 89,brasserie-historique.com,3/11/2026,
2904,9,29,Les Bateliers,French,"15 Rue de la Herse, Colmar",Budget,4.3,980,#20,11:00-22:00,+33 3 89,bateliers-colmar.com,3/11/2026,
3001,10,30,Tim Raue,Asian Fusion,Rudi-Dutschke-Str. 26,Luxury,4.7,2840,#1,18:00-00:00,+49 30,tim-raue.com,3/11/2026,
3002,10,30,Mustafas Kebap,Street Food,"Mehringdamm 32, Berlin",Budget,4.4,12400,#1,10:00-02:00,-,mustafas.de,3/11/2026,
3003,10,30,Katz Orange,Modern,"Bergstraße 22, Berlin",Midrange,4.6,3150,#8,18:00-23:00,+49 30,katzorange.com,3/11/2026,
3004,10,30,Zur Instanz,German,"Waisenstraße 14, Berlin",Midrange,4.4,4520,#15,12:00-23:00,+49 30,zurletzteninstanz.com,3/11/2026,
3101,10,31,Tantris,Fine Dining,Johann-Fichte-Str. 7,Luxury,4.7,1550,#1,12:00-23:00,+49 89,tantris.de,3/11/2026,
3102,10,31,Hofbräuhaus,Brewery,"Platzl 9, Munich",Midrange,4.4,85600,#2,09:00-00:00,+49 89,hofbraeuhaus.de,3/11/2026,
3103,10,31,Ratskeller,Traditional,"Marienplatz 8, Munich",Midrange,4.5,18200,#5,11:00-23:00,+49 89,ratskeller.com,3/11/2026,
3104,10,31,Viktualienmarkt,Market,"Viktualienmarkt 3, Munich",Budget,4.7,35400,#1,08:00-20:00,-,viktualienmarkt.de,3/11/2026,
3201,10,32,Haerlin,Fine Dining,Neuer Jungfernstieg 9,Luxury,4.8,680,#1,18:30-22:00,+49 40,restaurant-haerlin.de,3/11/2026,
3202,10,32,Bullerei,Creative,"Lagerstraße 34, Hamburg",Midrange,4.4,5850,#5,12:00-00:00,+49 40,bullerei.com,3/11/2026,
3203,10,32,Fischereihafen,Seafood,Große Elbstraße 143,Luxury,4.6,3250,#2,11:30-22:00,+49 40,fischereihafen-rest.de,3/11/2026,
3204,10,32,Erika's Eck,Traditional,"Sternstraße 98, Hamburg",Budget,4.5,4150,#10,17:00-09:00,+49 40,erikas-eck.de,3/11/2026,
3301,10,33,Zur Höll,German,"Burggasse 8, Rothenburg",Midrange,4.8,2880,#1,17:00-22:00,+49 9861,hoell-rothenburg.de,3/11/2026,
3302,10,33,Baumeisterhaus,Traditional,Obere Schmiedgasse 3,€€,4.4,3220,#5,11:00-21:30,+49 9861,baumeisterhaus.de,3/11/2026,
3303,10,33,Gasthof Glocke,Franconian,"Plönlein 1, Rothenburg",Midrange,4.5,1580,#8,12:00-22:00,+49 9861,glocke-rothenburg.de,3/11/2026,
3304,10,33,Diller Snacks,Dessert,Obere Schmiedgasse 7,Budget,4.2,1150,#20,09:00-18:00,+49 9861,schneeballen.de,3/11/2026,
3401,11,34,Spondi,Fine Dining,"Pirronos 5, Athens",Luxury,4.8,2580,#1,19:30-00:00,+30 210,spondi.gr,3/11/2026,
3402,11,34,Mani Mani,Modern Greek,"Falirou 10, Athens",Midrange,4.7,4950,#5,13:00-23:00,+30 210,manimani.com.gr,3/11/2026,
3403,11,34,O Thanasis,Street Food,"Mitropoleos 69, Athens",Budget,4.5,18500,#2,09:00-01:00,+30 210,othanasis.com,3/11/2026,
3404,11,34,Karamanlidika,Deli/Meze,"Sokratous 1, Athens",Budget,4.8,9600,#1,12:00-23:00,+30 210,karamanlidika.gr,3/11/2026,
3501,11,35,Selene,Fine Dining,"Fira, Santorini",Luxury,4.7,1250,#1,18:00-23:00,+30 228,selene.gr,3/11/2026,
3502,11,35,Metaxy Mas,Traditional,"Exo Gonia, Santorini",Midrange,4.9,5600,#2,13:00-00:00,+30 228,metaxymas.gr,3/11/2026,
3503,11,35,Lucky's,Street Food,"Fira Center, Santorini",Budget,4.6,3150,#1,11:00-22:00,+30 228,luckys.gr,3/11/2026,
3504,11,35,Ammoudi Fish,Seafood,"Ammoudi Bay, Oia",Luxury,4.5,2900,#10,12:00-23:00,+30 228,ammoudifish.com,3/11/2026,
3601,11,36,Meteoron Panorama,Greek,Kalambaka-Kastraki Rd,Midrange,4.6,"3,850",#1,12:00-23:00,+30 243,meteoronpanorama.gr,3/11/2026,
3602,11,36,Gardenia,Traditional,Kastraki Village,Midrange,4.7,"2,180",#3,11:30-22:30,+30 243,gardena.gr,3/11/2026,
3603,11,36,Valia Calda,Modern Greek,"Kondili 34, Kalambaka",Midrange,4.8,"1,550",#2,13:00-23:00,+30 243,valiacalda.gr,3/11/2026,
3604,11,36,Panellinio,Greek,"Town Square, Kalambaka",Budget,4.4,"1,920",#8,10:00-23:00,+30 243,panellinio.gr,3/11/2026,
3701,12,37,Onyx,Fine Dining,"Vörösmarty tér 7, Bud.",Luxury,4.8,"2,250",#1,18:30-23:00,+36 30,onyxrestaurant.hu,3/11/2026,
3702,12,37,Menza,Hungarian,Liszt Ferenc tér 2,Midrange,4.6,"15,600",#5,11:30-23:00,+36 1,menza.hu,3/11/2026,
3703,12,37,Borkonyha,Modern/Wine,"Sas utca 3, Budapest",Luxury,4.7,"4,620",#2,12:00-00:00,+36 1,borkonyha.hu,3/11/2026,
3704,12,37,Drum Cafe,Budget,"Dob utca 2, Budapest",Budget,4.5,"12,500",#1,09:00-23:00,+36 7,drumcafe.hu,3/11/2026,
3801,12,38,IKON,Modern,"Piac utca 23, Debrecen",Luxury,4.7,"1,550",#1,12:00-23:00,+36 30,ikonrestaurant.hu,3/11/2026,
3802,12,38,Csokonai,Traditional,Kossuth utca 21,Midrange,4.5,"2,280",#3,11:30-23:00,+36 52,csokonairetterem.hu,3/11/2026,
3803,12,38,Belga Etterem,International,"Piac utca 29, Debrecen",Midrange,4.6,"1,890",#5,11:00-00:00,+36 52,belgaetterem.hu,3/11/2026,
3804,12,38,Bonita Bistro,Italian/Pizza,"Piac utca 12, Debrecen",Budget,4.4,995,#12,11:00-22:00,+36 52,bonitadebrecen.hu,3/11/2026,
3901,12,39,Korona Etterem,Hungarian,"F? tér 18, Szentendre",Midrange,4.4,"1,250",#5,11:00-21:00,+36 26,koronaetterem.hu,3/11/2026,
3902,12,39,Aranysárkány,Traditional,Alkotmány utca 1,Midrange,4.6,"1,180",#2,12:00-22:00,+36 26,aranysarkany.hu,3/11/2026,
3903,12,39,M?vész Étterem,Fine Dining,Dumtsa Jen? u. 7,Luxury,4.7,840,#1,12:00-23:00,+36 26,muveszetterem.hu,3/11/2026,
3904,12,39,Retro Lángos,Street Food,Görög utca 4,Budget,4.8,"3,580",#1,10:00-19:00,-,retrolangos.hu,3/11/2026,
4001,13,40,La Pergola,Fine Dining,Via Alberto Cadlolo 101,Luxury,4.9,"5,600",#1,19:30-23:30,+39 06,romecavalieri.com,3/11/2026,
4002,13,40,Da Enzo al 29,Trattoria,Via dei Vascellari 29,Budget,4.6,"12,600",#5,12:15-23:00,+39 06,daenzoal29.com,3/11/2026,
4003,13,40,Roscioli,Deli/Kitchen,Via dei Giubbonari 21,Midrange,4.5,"8,700",#10,12:30-23:30,+39 06,salumeriaroscioli.com,3/11/2026,
4004,13,40,Pizzarium Bonci,Street Food,Via della Meloria 43,Budget,4.7,"15,500",#1,11:00-22:00,+39 06,bonci.it,3/11/2026,
4101,13,41,Enoteca Pinchiorri,Fine Dining,Via Ghibellina 87,Luxury,4.8,"2,180",#1,19:30-22:00,+39 055,enotecapinchiorri.it,3/11/2026,
4102,13,41,All'Antico Vinaio,Street Food,Via dei Neri 76,Budget,4.7,"46,200",#1,10:00-22:00,+39 055,allanticovinaio.com,3/11/2026,
4103,13,41,Trattoria Mario,Traditional,"Via Rosina 2, Florence",Budget,4.6,"8,350",#15,12:00-15:00,+39 055,trattoriamario.com,3/11/2026,
4104,13,41,Osteria di Giovanni,Tuscan,Via del Moro 22,Midrange,4.7,"5,600",#5,12:30-22:30,+39 055,osteriadigiovanni.com,3/11/2026,
4201,13,42,Quadri,Fine Dining,Piazza San Marco 121,Luxury,4.7,"1,880",#1,12:30-22:30,+39 041,alajmo.it,3/11/2026,
4202,13,42,Al Gatto Nero,Seafood,"Via Giudecca 88, Burano",Midrange,4.6,"3,250",#2,12:30-21:00,+39 041,algattonero.it,3/11/2026,
4203,13,42,Dal Moro's,Street Food,Calle de la Casseleria,Budget,4.5,"15,800",#1,11:00-20:00,-,dalmoros.com,3/11/2026,
4204,13,42,Osteria Testiere,Seafood,"Castello 5801, Venice",Luxury,4.8,"1,590",#5,12:00-22:00,+39 041,osterialletestiere.it,3/11/2026,
4301,13,43,Vitantonio Lombardo,Fine Dining,Via Madonna delle Virtù,Luxury,4.8,"1,150",#1,19:30-22:30,+39 0835,vlrestaurante.it,3/11/2026,
4302,13,43,Del Cavaliere,Local,Via San Giovanni Vecchio,Midrange,4.6,"3,600",#4,12:30-22:30,+39 0835,trattoriacavaliere.it,3/11/2026,
4303,13,43,Osteria al Casale,Rustic,Via Madonna delle Virtù,Midrange,4.7,"2,850",#2,12:30-23:00,+39 0835,osteriaalcasale.it,3/11/2026,
4304,13,43,Kappador,Modern,Piazza Vittorio Veneto,Budget,4.4,"1,550",#10,12:00-22:00,+39 0835,kappador.it,3/11/2026,
4401,13,44,Buca di Sant'Ant.,Traditional,Via della Cervia 3,Luxury,4.6,"3,250",#2,12:30-22:30,+39 0583,bucadisantantonio.it,3/11/2026,
4402,13,44,Trattoria da Leo,Traditional,Via delle Cavallerizze,Budget,4.5,"4,180",#5,12:00-22:30,+39 0583,trattoriadaleo.it,3/11/2026,
4403,13,44,L'Imbuto,Creative,Via della Fratta 36,Luxury,4.7,"1,260",#1,19:30-22:00,+39 331,limbuto.it,3/11/2026,
4404,13,44,Pizzeria Da Felice,Street Food,"Via Buia 12, Lucca",Budget,4.8,"5,600",#1,11:30-20:30,+39 0583,pizzeriadafelice.it,3/11/2026,
